FAQID,ClubFAQRef,ClubVersion,Question,Answer,Location,Key,Version
1,2988,0,گزينه  تنظيم عوامل  چه كاربرد هايي دارد؟,در صورت نياز به انجام عمليات ذيل مي بايست از  تنظيم عوامل  استفاده نمود:   1- تنظيم نمودن فرمول محاسبه هر يك از عوامل از طبقه  قراردادي  و  محاسباتي  با عوامل از طبقه  كاركرد    2- برخي از عوامل  مزايا  مشمول بيمه تامين اجتماعي باشد/نباشد.   3- برخي از عوامل  مزايا  مشمول ماليات باشد/نباشد.   4- تعيين ضريب محاسباتي هر يك از عوامل حقوقي از طبقه  قراردادي  و  محاسباتي    5- تعيين/تغيير  نوع مخرج  و  مخرج  محاسبه هر يك از فرمول هاي محاسبه,تنظيم عوامل,Payroll/ElementControl,0
2,2989,0,اجزاي تشكيل دهنده فرم  تنظيم عوامل  كدامند؟,اجزاي تشكيل دهنده صفحه  تنظيم عوامل  به ترتيب ذيل مي باشد:   1- اطلاعات عامل   2- بيمه و ماليات   3- عوامل قراردادي   4- كاركرد هاي موثر   5- ساير,تنظيم عوامل,Payroll/ElementControl,0
3,2990,0,ستون مربوط به  اطلاعات عامل  در تنظيم عوامل شامل چه مواردي مي شود؟,اطلاعات نمايش داده شده در ستون  اطلاعات عامل  شامل اطلاعات عنوان، طبقه و نوع عوامل تعريف شده از طبقات مزايا، كسور و تعهدات كارفرما مي باشد.,تنظيم عوامل,Payroll/ElementControl,0
4,2991,0,ستون مربوط به  بيمه و ماليات  در تنظيم عوامل شامل چه مواردي مي شود؟,اطلاعات نمايش داده شده در ستون  بيمه و ماليات  شامل دو قسمت زير مي باشد:   الف- مشمول بيمه:   با فعال كردن گزينه  مشمول بيمه  براي يك عامل مزايا ، مبلغ محاسبه شده براي آن عامل در جمع درآمد مشمول بيمه تاثير داده ميشود و اگر غير فعال باشد ، در درآمد مشمول بيمه تاثيري داده نميشود (آن عامل معاف از بيمه مي گردد).   ب- مشمول ماليات:    با فعال كردن گزينه  مشمول ماليات  براي يك عامل مزايا ، مبلغ محاسبه شده براي آن عامل در جمع درآمد مشمول ماليات تاثير داده ميشود و اگر غير فعال باشد ، در درآمد مشمول ماليات تاثيري داده نميشود (آن عامل معاف از ماليات ميشود).  ***توجه: گزينه هاي  مشمول ماليات  و  مشمول بيمه  فقط براي عوامل طبقه مزايا قابل انتخاب هستند و براي بقيه عوامل، غير فعال هستند.,تنظيم عوامل,Payroll/ElementControl,0
5,2992,0,ستون مربوط به  عوامل قراردادي  در تنظيم عوامل شامل چه مواردي مي شود؟,اطلاعات نمايش داده شده در ستون  عوامل قراردادي  شامل عامل هاي حقوق از طبقه  قراردادي  مي باشد كه در وضعيت  فعال  مي باشند.,تنظيم عوامل,Payroll/ElementControl,0
6,2993,0,ستون مربوط به  كاركرد هاي موثر  در تنظيم عوامل شامل چه مواردي مي شود؟,اطلاعات نمايش داده شده در ستون  كاركرد هاي موثر  شامل عامل هاي حقوق از طبقه  كاركرد  مي باشد كه در وضعيت  فعال  مي باشند.,تنظيم عوامل,Payroll/ElementControl,0
7,2994,0,ستون مربوط به  ساير  در تنظيم عوامل شامل چه مواردي مي شود؟,اطلاعات نمايش داده شده در ستون  ساير  شامل چهار قسمت زير مي باشد:   1- ضريب ثابت: مشخص كننده عددي است كه در كل محاسبات ضرب ميشود.   براي مثال: ضريب اضافه كاري 1.4 است ولي حقوق پايه در عددي ضرب نميشود و ضريب آن 1 است.   2- عدد ثابت: مشخص كننده عددي است كه با كل محاسبات جمع ميشود.   3- نوع مخرج: ميتوان يكي از موارد  عدد ثابت  و  روز هاي ماه  را انتخاب نمود.   4- مخرج: در صورتي كه نوع مخرج عدد ثابت تعيين شده باشد، ميتوان در ستون مخرج عدد دلخواه جهت درج در مخرج فرمول را يادداشت نمود.,تنظيم عوامل,Payroll/ElementControl,0
8,1458,0,روش كار با عوامل با نوع  ورود دستي  در تنظيم عوامل چگونه مي باشد؟,عوامل با نوع  ورود دستي  شامل هيچ فرمول محاسبه اي نمي باشد و تنها مي بايست در اطلاعات ماهانه مبلغ را به صورت دستي وارد نمود.,تنظيم عوامل,Payroll/ElementControl,0
9,1912,0,چگونه ميتوان يك عامل حقوق را بدون در نظر گرفتن كاركرد محاسبه نمود؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب نمائيد.   در صفحه باز شده در سطر عامل حقوق مورد نظر، گزينه  محاسبه كامل با كمترين مقدار كاركرد مرتبط  فعال كرده و فرم را ذخيره نمائيد.,تنظيم عوامل,Payroll/ElementControl,0
10,2258,0,در هنگام ذخيره فرم تنظيم عوامل، خطاي   انتخاب نوع مناسب در تعريف عامل الزامي است  مشاهده مي شود، علت چيست؟,در يكي از عوامل در تنظيم عوامل نوع عامل با طبقه آن همخواني ندارد.  1) فيلد نوع عامل در عامل مورد نظر مشخص نشده است.  2)عامل مورد نظر را اصلاح كنيد,تنظيم عوامل,Payroll/ElementControl,0
